id_cliente,edad,genero,ciudad,tipo_poliza,antiguedad_meses,valor_poliza,reclamaciones,pqr,retrasos_pago,canal_atencion,fecha_actualizacion,churn
CLI0001,56,Masculino,Bogotá,Salud,75,362844,1,3,1,App,2025-12-08,0
CLI0002,69,Masculino,Cali,Vida,77,862215,3,1,1,Web,2024-08-21,0
CLI0003,46,Masculino,Bucaramanga,Hogar,10,512680,1,1,1,Web,2024-09-15,0
CLI0004,32,Masculino,Medellín,Vida,14,253423,2,2,1,App,2026-07-04,0
CLI0005,60,Femenino,Barranquilla,Vehiculo,82,173330,2,1,3,App,2024-10-24,0
CLI0006,25,Femenino,Medellín,Salud,51,305391,1,0,1,App,2026-07-05,0
CLI0007,38,Masculino,Bucaramanga,Hogar,118,293606,0,0,1,App,2025-01-28,0
CLI0008,56,Femenino,Bogotá,Salud,73,487085,5,1,0,Telefonico,2026-01-17,0
CLI0009,75,Masculino,Bogotá,Vehiculo,39,271387,2,0,0,Presencial,2026-01-10,0
CLI0010,36,Femenino,Bucaramanga,Vehiculo,28,321133,0,2,0,Telefonico,2026-05-08,0
CLI0011,40,Masculino,Bogotá,Vida,3,566904,1,1,0,Presencial,2026-07-02,0
CLI0012,28,Femenino,Bogotá,Hogar,84,494170,3,2,3,Presencial,2025-04-22,0
CLI0013,28,Femenino,Bogotá,Vida,70,766915,0,0,0,Presencial,2026-04-24,0
CLI0014,41,Masculino,Barranquilla,Vehiculo,27,405497,0,2,2,Telefonico,2026-01-23,0
CLI0015,70,Femenino,Barranquilla,Salud,117,555406,1,1,2,App,2026-07-20,0
CLI0016,53,Masculino,Cali,Vida,2,518242,4,1,1,Telefonico,2024-12-06,0
CLI0017,57,Masculino,Medellín,Vida,93,442916,2,3,0,Telefonico,2026-07-02,0
CLI0018,41,Masculino,Bucaramanga,Salud,38,258048,1,4,1,Presencial,2024-08-06,0
CLI0019,20,Masculino,Bucaramanga,Vida,3,433646,2,3,2,Web,2026-06-24,0
CLI0020,39,Femenino,Bucaramanga,Salud,16,456087,4,2,0,Web,2025-01-06,0
CLI0021,70,Femenino,Cali,Hogar,94,451994,0,1,2,Telefonico,2025-10-11,0
CLI0022,19,Femenino,Barranquilla,Salud,40,649383,1,0,1,Presencial,2025-08-06,0
CLI0023,41,Masculino,Cali,Hogar,2,225342,4,2,2,Telefonico,2024-10-15,1
CLI0024,61,Femenino,Bucaramanga,Salud,81,766268,1,0,2,Telefonico,2026-02-02,0
CLI0025,47,Masculino,Medellín,Vehiculo,41,881955,0,1,0,App,2026-04-11,0
CLI0026,55,Femenino,Bogotá,Vehiculo,12,142433,1,0,1,Presencial,2025-05-14,0
CLI0027,19,Femenino,Barranquilla,Hogar,35,624279,1,0,0,Web,2026-07-11,0
CLI0028,38,Femenino,Barranquilla,Hogar,107,352919,0,3,1,Web,2026-03-09,0
CLI0029,50,Masculino,Cali,Vehiculo,65,551017,0,0,1,Web,2025-03-20,0
CLI0030,29,Femenino,Barranquilla,Hogar,55,427139,4,1,1,Telefonico,2026-03-08,1
CLI0031,75,Femenino,Bucaramanga,Salud,45,227745,2,1,0,Presencial,2025-05-17,0
CLI0032,39,Masculino,Bucaramanga,Salud,79,727096,1,2,0,App,2025-06-06,0
CLI0033,61,Femenino,Cali,Vehiculo,90,762416,1,1,2,Web,2025-09-19,0
CLI0034,42,Masculino,Bucaramanga,Vida,101,217686,1,1,3,Presencial,2026-02-16,0
CLI0035,66,Femenino,Medellín,Salud,85,87415,0,2,1,Web,2024-10-18,0
CLI0036,44,Masculino,Cali,Hogar,62,850326,1,2,2,App,2026-01-10,0
CLI0037,59,Masculino,Medellín,Vida,49,517100,2,1,0,Presencial,2025-03-23,0
CLI0038,45,Femenino,Bogotá,Vida,95,858493,0,4,0,Telefonico,2024-11-14,0
